XMDTENT,XMDTSITE,XMDTDOCNO,XMDTDOCDT,XMDT004,XMDT002,XMDT003,XMDTSTUS,XMDT015
99,,CNJ-HJD-140300000004,2014-03-05 00:00:00,SS004,01396,DC0360,N,2014-03-05 00:00:00
99,,CNJ-HJD-140300000005,2014-03-05 00:00:00,00000002,01396,DC0360,N,2014-03-05 00:00:00
99,,CNJ-HJD-140300000006,2014-03-05 00:00:00,00000002,01396,DC0360,N,2014-03-05 00:00:00
99,,CTC-420-140400000001,2014-04-29 00:00:00,00000002,05229,DC0340,N,2014-04-29 00:00:00
99,,CTC-420-140400000002,2014-04-29 00:00:00,131220,05229,DC0340,N,2014-04-29 00:00:00
99,,CTC-ALB-140300000002,2014-03-11 00:00:00,131220,03080,DC0300,N,2014-03-11 00:00:00
99,DSCTC,CTC-HJ1-140400000001,2014-04-30 00:00:00,131219-002,05229,DC0340,N,2014-04-30 00:00:00
99,DSCTC,CTC-420-140400000005,2014-04-30 00:00:00,131219-002,05229,DC0340,N,2014-04-30 00:00:00
99,DSCNJ,CNJ-P69-201501290001,2015-01-29 00:00:00,00002,00812,D1200,N,2015-01-29 00:00:00
99,DSCTC,CTC-420-141200000001,2014-12-15 00:00:00,00002,00812,D1200,N,2014-12-15 00:00:00
99,DSCTC,CTC-420-141200000002,2014-12-30 00:00:00,MA01,01588,DC0340,N,2014-12-30 00:00:00
99,DSCNJ,CNJ-HJD-150100000001,2015-01-29 00:00:00,131108,00812,D1200,Y,2015-01-29 00:00:00
99,DSCTC,CTC-HJD-140800000001,2014-08-28 00:00:00,MA01,01588,DC0340,N,2014-08-28 00:00:00
10,JINPAO,JP2101-16080000001,2016-08-29 00:00:00,A001,00000,FGPD2CNCBE,Y,2016-08-29 00:00:00
10,JINPAO,JP2108-16090000002,2016-09-29 00:00:00,D005,510023,MGNMDVMD,Y,2016-09-29 00:00:00
10,JINPAO,JP2108-16090000003,2016-09-29 00:00:00,D005,510023,MGNMDVMD,Y,2016-09-29 00:00:00
3,JINPAO,JP2101-20161222310,2016-12-22 00:00:00,H001,520025,JINPAO,Y,2014-09-11 00:00:00
3,JINPAO,JP2101-20161222311,2016-12-22 00:00:00,S008,520025,JINPAO,Y,2014-09-04 00:00:00
3,JINPAO,JP2101-20161222312,2016-12-22 00:00:00,B004,520025,JINPAO,Y,2014-09-10 00:00:00
3,JINPAO,JP2101-20161222313,2016-12-22 00:00:00,B004,520025,JINPAO,Y,2014-09-10 00:00:00
3,JINPAO,JP2101-20161222314,2016-12-22 00:00:00,Y002,520025,JINPAO,Y,2014-09-10 00:00:00
3,JINPAO,JP2101-20161222315,2016-12-22 00:00:00,B004,520025,JINPAO,Y,2014-09-11 00:00:00
3,JINPAO,JP2101-20161222316,2016-12-22 00:00:00,D003,520025,JINPAO,Y,2014-09-11 00:00:00
3,JINPAO,JP2101-20161222317,2016-12-22 00:00:00,D005,520025,JINPAO,Y,2014-09-11 00:00:00
3,JINPAO,JP2101-20161222318,2016-12-22 00:00:00,D003,520025,JINPAO,Y,2014-09-11 00:00:00
3,JINPAO,JP2101-20161222319,2016-12-22 00:00:00,S036,520025,JINPAO,Y,2014-09-11 00:00:00
3,JINPAO,JP2101-20161222320,2016-12-22 00:00:00,D003,520025,JINPAO,Y,2014-09-11 00:00:00
3,JINPAO,JP2101-20161222321,2016-12-22 00:00:00,D005,520025,JINPAO,Y,2014-09-11 00:00:00
3,JINPAO,JP2101-20161222322,2016-12-22 00:00:00,D006,520025,JINPAO,Y,2014-09-11 00:00:00
3,JINPAO,JP2101-20161222323,2016-12-22 00:00:00,F023,520025,JINPAO,Y,2014-09-11 00:00:00
3,JINPAO,JP2101-20161222324,2016-12-22 00:00:00,J008,520025,JINPAO,Y,2014-09-11 00:00:00
3,JINPAO,JP2101-20161222309,2016-12-22 00:00:00,F006,520025,JINPAO,Y,2014-09-11 00:00:00
3,JINPAO,JP2101-20250805001,2025-08-05 00:00:00,J004-03,00000,JINPAO,Y,2017-10-02 00:00:00
10,JINPAO,JP2101-16090000001,2016-09-29 00:00:00,D003,510023,MGNMDVMD,N,2016-09-29 00:00:00
3,JINPAO,JP2101-20161222127,2016-12-22 00:00:00,L003,520025,JINPAO,Y,2014-08-26 00:00:00
3,JINPAO,JP2101-20161222128,2016-12-22 00:00:00,I004,520025,JINPAO,Y,2014-08-18 00:00:00
3,JINPAO,JP2101-20161222129,2016-12-22 00:00:00,I004,520025,JINPAO,Y,2014-08-19 00:00:00
3,JINPAO,JP2101-20161222130,2016-12-22 00:00:00,M022,520025,JINPAO,Y,2014-08-25 00:00:00
3,JINPAO,JP2101-20161222131,2016-12-22 00:00:00,B001,520025,JINPAO,Y,2014-08-27 00:00:00
3,JINPAO,JP2101-20161222132,2016-12-22 00:00:00,B001,520025,JINPAO,Y,2014-08-27 00:00:00
3,JINPAO,JP2101-20161222133,2016-12-22 00:00:00,D005,520025,JINPAO,Y,2014-08-28 00:00:00
3,JINPAO,JP2101-20161222134,2016-12-22 00:00:00,H001,520025,JINPAO,Y,2014-08-28 00:00:00
3,JINPAO,JP2101-20161222135,2016-12-22 00:00:00,I004,520025,JINPAO,Y,2014-08-29 00:00:00
3,JINPAO,JP2101-20161222136,2016-12-22 00:00:00,J008,520025,JINPAO,Y,2014-08-29 00:00:00
3,JINPAO,JP2101-20161222137,2016-12-22 00:00:00,J008,520025,JINPAO,Y,2014-08-29 00:00:00
3,JINPAO,JP2101-20161222138,2016-12-22 00:00:00,F025,520025,JINPAO,Y,2014-09-01 00:00:00
3,JINPAO,JP2101-20161222139,2016-12-22 00:00:00,F005,520025,JINPAO,Y,2015-04-20 00:00:00
3,JINPAO,JP2101-20161222140,2016-12-22 00:00:00,F006,520025,JINPAO,Y,2015-04-20 00:00:00
3,JINPAO,JP2101-20161222141,2016-12-22 00:00:00,C014,520025,JINPAO,Y,2015-04-21 00:00:00
3,JINPAO,JP2101-20161222142,2016-12-22 00:00:00,C014,520025,JINPAO,Y,2015-04-21 00:00:00
3,JINPAO,JP2101-20161222143,2016-12-22 00:00:00,B004,520025,JINPAO,Y,2015-04-24 00:00:00
3,JINPAO,JP2101-20161222144,2016-12-22 00:00:00,J008,520025,JINPAO,Y,2015-04-24 00:00:00
3,JINPAO,JP2101-20161222145,2016-12-22 00:00:00,F006,520025,JINPAO,Y,2015-04-27 00:00:00
3,JINPAO,JP2101-20161222146,2016-12-22 00:00:00,C014,520025,JINPAO,Y,2015-04-28 00:00:00
3,JINPAO,JP2101-20161222147,2016-12-22 00:00:00,J008,520025,JINPAO,Y,2015-04-28 00:00:00
3,JINPAO,JP2101-20161222148,2016-12-22 00:00:00,F006,520025,JINPAO,Y,2015-04-28 00:00:00
3,JINPAO,JP2101-20161222149,2016-12-22 00:00:00,T034,520025,JINPAO,Y,2015-04-28 00:00:00
3,JINPAO,JP2101-20161222150,2016-12-22 00:00:00,B001,520025,JINPAO,Y,2015-04-20 00:00:00
3,JINPAO,JP2101-20161222151,2016-12-22 00:00:00,F005,520025,JINPAO,Y,2015-04-23 00:00:00
3,JINPAO,JP2101-20161222152,2016-12-22 00:00:00,T034,520025,JINPAO,Y,2015-04-25 00:00:00
3,JINPAO,JP2101-20161222153,2016-12-22 00:00:00,A007,520025,JINPAO,Y,2015-04-27 00:00:00
3,JINPAO,JP2101-20161222154,2016-12-22 00:00:00,F005,520025,JINPAO,Y,2015-04-29 00:00:00
3,JINPAO,JP2101-20161222155,2016-12-22 00:00:00,F023,520025,JINPAO,Y,2015-04-29 00:00:00
3,JINPAO,JP2101-20161222126,2016-12-22 00:00:00,L003,520025,JINPAO,Y,2014-08-26 00:00:00
10,JINPAO,JP2103-16090000001,2016-09-29 00:00:00,A001,510023,MGNMDVMD,Y,2016-09-29 00:00:00
3,JINPAO,JP2101-20161222156,2016-12-22 00:00:00,F005,520025,JINPAO,Y,2015-04-30 00:00:00
3,JINPAO,JP2101-20161222157,2016-12-22 00:00:00,B001,520025,JINPAO,Y,2015-05-04 00:00:00
3,JINPAO,JP2101-20161222158,2016-12-22 00:00:00,F025,520025,JINPAO,Y,2015-05-05 00:00:00
3,JINPAO,JP2101-20161222159,2016-12-22 00:00:00,F005,520025,JINPAO,Y,2015-05-05 00:00:00
3,JINPAO,JP2101-20161222160,2016-12-22 00:00:00,H001,520025,JINPAO,Y,2015-05-05 00:00:00
3,JINPAO,JP2101-20161222161,2016-12-22 00:00:00,T034,520025,JINPAO,Y,2015-04-27 00:00:00
3,JINPAO,JP2101-20161222162,2016-12-22 00:00:00,F025,520025,JINPAO,Y,2015-05-04 00:00:00
3,JINPAO,JP2101-20161222163,2016-12-22 00:00:00,T033,520025,JINPAO,Y,2015-05-06 00:00:00
3,JINPAO,JP2101-20161222164,2016-12-22 00:00:00,S008,520025,JINPAO,Y,2015-05-06 00:00:00
3,JINPAO,JP2101-20161222165,2016-12-22 00:00:00,B001,520025,JINPAO,Y,2015-05-06 00:00:00
3,JINPAO,JP2101-20161222166,2016-12-22 00:00:00,D006,520025,JINPAO,Y,2015-05-06 00:00:00
3,JINPAO,JP2101-20161222167,2016-12-22 00:00:00,F006,520025,JINPAO,Y,2015-05-07 00:00:00
3,JINPAO,JP2101-20161222168,2016-12-22 00:00:00,A005,520025,JINPAO,Y,2015-05-07 00:00:00
3,JINPAO,JP2101-20161222169,2016-12-22 00:00:00,C014,520025,JINPAO,Y,2015-05-07 00:00:00
3,JINPAO,JP2101-20161222170,2016-12-22 00:00:00,C013,520025,JINPAO,Y,2015-05-11 00:00:00
3,JINPAO,JP2101-20161222171,2016-12-22 00:00:00,C014,520025,JINPAO,Y,2015-05-11 00:00:00
3,JINPAO,JP2101-20161222172,2016-12-22 00:00:00,T026,520025,JINPAO,Y,2015-04-29 00:00:00
3,JINPAO,JP2101-20161222173,2016-12-22 00:00:00,B001,520025,JINPAO,Y,2015-05-02 00:00:00
3,JINPAO,JP2101-20161222174,2016-12-22 00:00:00,B001,520025,JINPAO,Y,2015-05-02 00:00:00
3,JINPAO,JP2101-20161222175,2016-12-22 00:00:00,S007,520025,JINPAO,Y,2015-05-06 00:00:00
3,JINPAO,JP2101-20161222176,2016-12-22 00:00:00,F005,520025,JINPAO,Y,2015-05-07 00:00:00
3,JINPAO,JP2101-20161222177,2016-12-22 00:00:00,S008,520025,JINPAO,Y,2015-05-09 00:00:00
3,JINPAO,JP2101-20161222178,2016-12-22 00:00:00,S008,520025,JINPAO,Y,2015-05-09 00:00:00
3,JINPAO,JP2101-20161222179,2016-12-22 00:00:00,T026,520025,JINPAO,Y,2015-05-12 00:00:00
3,JINPAO,JP2101-20161222180,2016-12-22 00:00:00,A005,520025,JINPAO,Y,2015-05-13 00:00:00
3,JINPAO,JP2101-20161222181,2016-12-22 00:00:00,F025,520025,JINPAO,Y,2015-05-13 00:00:00
3,JINPAO,JP2101-20161222182,2016-12-22 00:00:00,F006,520025,JINPAO,Y,2015-05-14 00:00:00
3,JINPAO,JP2101-20161222183,2016-12-22 00:00:00,M027,520025,JINPAO,Y,2015-04-30 00:00:00
3,JINPAO,JP2101-20161222184,2016-12-22 00:00:00,B004,520025,JINPAO,Y,2015-05-02 00:00:00
3,JINPAO,JP2101-20161222185,2016-12-22 00:00:00,B004,520025,JINPAO,Y,2015-05-14 00:00:00
3,JINPAO,JP2101-20161222186,2016-12-22 00:00:00,T026,520025,JINPAO,Y,2015-05-14 00:00:00
10,JINPAO,JP2108-16090000001,2016-09-27 00:00:00,T034,510005,MKTSA,Y,2016-09-27 00:00:00
3,JINPAO,JP2101-20161222280,2016-12-22 00:00:00,T026,520025,JINPAO,Y,2014-08-28 00:00:00
3,JINPAO,JP2101-20161222281,2016-12-22 00:00:00,J008,520025,JINPAO,Y,2014-08-29 00:00:00
3,JINPAO,JP2101-20161222282,2016-12-22 00:00:00,F005,520025,JINPAO,Y,2014-08-30 00:00:00
3,JINPAO,JP2101-20161222283,2016-12-22 00:00:00,T033,520025,JINPAO,Y,2014-09-01 00:00:00
3,JINPAO,JP2101-20161222284,2016-12-22 00:00:00,A005,520025,JINPAO,Y,2014-09-02 00:00:00
3,JINPAO,JP2101-20161222285,2016-12-22 00:00:00,M027,520025,JINPAO,Y,2014-09-03 00:00:00
3,JINPAO,JP2101-20161222286,2016-12-22 00:00:00,M027,520025,JINPAO,Y,2014-09-03 00:00:00
3,JINPAO,JP2101-20161222287,2016-12-22 00:00:00,M027,520025,JINPAO,Y,2014-09-03 00:00:00
3,JINPAO,JP2101-20161222288,2016-12-22 00:00:00,M027,520025,JINPAO,Y,2014-09-03 00:00:00
3,JINPAO,JP2101-20161222289,2016-12-22 00:00:00,I004,520025,JINPAO,Y,2014-09-03 00:00:00
3,JINPAO,JP2101-20161222290,2016-12-22 00:00:00,D003,520025,JINPAO,Y,2014-09-03 00:00:00
3,JINPAO,JP2101-20161222291,2016-12-22 00:00:00,M027,520025,JINPAO,Y,2014-09-03 00:00:00
3,JINPAO,JP2101-20161222292,2016-12-22 00:00:00,M027,520025,JINPAO,Y,2014-09-03 00:00:00
3,JINPAO,JP2101-20161222293,2016-12-22 00:00:00,F005,520025,JINPAO,Y,2014-09-04 00:00:00
3,JINPAO,JP2101-20161222294,2016-12-22 00:00:00,C024,520025,JINPAO,Y,2014-09-05 00:00:00
3,JINPAO,JP2101-20161222295,2016-12-22 00:00:00,H001,520025,JINPAO,Y,2014-09-08 00:00:00
3,JINPAO,JP2101-20161222296,2016-12-22 00:00:00,A005,520025,JINPAO,Y,2014-09-09 00:00:00
3,JINPAO,JP2101-20161222297,2016-12-22 00:00:00,J008,520025,JINPAO,Y,2014-09-09 00:00:00
3,JINPAO,JP2101-20161222298,2016-12-22 00:00:00,F005,520025,JINPAO,Y,2014-09-09 00:00:00
3,JINPAO,JP2101-20161222299,2016-12-22 00:00:00,L003,520025,JINPAO,Y,2014-09-09 00:00:00
3,JINPAO,JP2101-20161222300,2016-12-22 00:00:00,M027,520025,JINPAO,Y,2014-09-03 00:00:00
3,JINPAO,JP2101-20161222301,2016-12-22 00:00:00,F029,520025,JINPAO,Y,2014-09-04 00:00:00
3,JINPAO,JP2101-20161222302,2016-12-22 00:00:00,F005,520025,JINPAO,Y,2014-09-04 00:00:00
3,JINPAO,JP2101-20161222303,2016-12-22 00:00:00,O008,520025,JINPAO,Y,2014-09-06 00:00:00
3,JINPAO,JP2101-20161222304,2016-12-22 00:00:00,I004,520025,JINPAO,Y,2014-09-10 00:00:00
3,JINPAO,JP2101-20161222305,2016-12-22 00:00:00,B001,520025,JINPAO,Y,2014-09-10 00:00:00
3,JINPAO,JP2101-20161222306,2016-12-22 00:00:00,S008,520025,JINPAO,Y,2014-09-10 00:00:00
3,JINPAO,JP2101-20161222307,2016-12-22 00:00:00,D005,520025,JINPAO,Y,2014-09-10 00:00:00
3,JINPAO,JP2101-20161222308,2016-12-22 00:00:00,F025,520025,JINPAO,Y,2014-09-11 00:00:00
99,DSCTC,CTC-420-141100000001,2014-11-05 00:00:00,00002,00363,DC0310,N,2014-11-05 00:00:00
3,JINPAO,JP2101-20161222325,2016-12-22 00:00:00,M027,520025,JINPAO,Y,2014-09-11 00:00:00
3,JINPAO,JP2101-20161222326,2016-12-22 00:00:00,F005,520025,JINPAO,Y,2014-09-15 00:00:00
3,JINPAO,JP2101-20161222327,2016-12-22 00:00:00,C024,520025,JINPAO,Y,2014-09-15 00:00:00
3,JINPAO,JP2101-20161222328,2016-12-22 00:00:00,C024,520025,JINPAO,Y,2014-09-15 00:00:00
3,JINPAO,JP2101-20161222329,2016-12-22 00:00:00,F005,520025,JINPAO,Y,2014-09-15 00:00:00
3,JINPAO,JP2101-20161222330,2016-12-22 00:00:00,B004,520025,JINPAO,Y,2014-09-17 00:00:00
3,JINPAO,JP2101-20161222331,2016-12-22 00:00:00,F021,520025,JINPAO,Y,2014-09-17 00:00:00
3,JINPAO,JP2101-20161222332,2016-12-22 00:00:00,C001,520025,JINPAO,Y,2014-09-17 00:00:00
3,JINPAO,JP2101-20161222333,2016-12-22 00:00:00,D005,520025,JINPAO,Y,2014-09-11 00:00:00
3,JINPAO,JP2101-20161222334,2016-12-22 00:00:00,D005,520025,JINPAO,Y,2014-09-11 00:00:00
3,JINPAO,JP2101-20161222335,2016-12-22 00:00:00,H001,520025,JINPAO,Y,2014-09-11 00:00:00
3,JINPAO,JP2101-20161222336,2016-12-22 00:00:00,H001,520025,JINPAO,Y,2014-09-11 00:00:00
3,JINPAO,JP2101-20161222337,2016-12-22 00:00:00,F005,520025,JINPAO,Y,2014-09-11 00:00:00
3,JINPAO,JP2101-20161222338,2016-12-22 00:00:00,J007,520025,JINPAO,Y,2014-09-11 00:00:00
3,JINPAO,JP2101-20161222339,2016-12-22 00:00:00,F021,520025,JINPAO,Y,2014-09-12 00:00:00
3,JINPAO,JP2101-20161222340,2016-12-22 00:00:00,F027,520025,JINPAO,Y,2014-09-12 00:00:00
3,JINPAO,JP2101-20161222341,2016-12-22 00:00:00,F021,520025,JINPAO,Y,2014-09-12 00:00:00
3,JINPAO,JP2101-20161222342,2016-12-22 00:00:00,F005,520025,JINPAO,Y,2014-09-12 00:00:00
3,JINPAO,JP2101-20161222343,2016-12-22 00:00:00,F005,520025,JINPAO,Y,2014-09-13 00:00:00
3,JINPAO,JP2101-20161222344,2016-12-22 00:00:00,T029,520025,JINPAO,Y,2014-09-15 00:00:00
3,JINPAO,JP2101-20161222345,2016-12-22 00:00:00,B001,520025,JINPAO,Y,2014-09-16 00:00:00
3,JINPAO,JP2101-20161222346,2016-12-22 00:00:00,F023,520025,JINPAO,Y,2014-09-16 00:00:00
3,JINPAO,JP2101-20161222347,2016-12-22 00:00:00,T034,520025,JINPAO,Y,2014-09-17 00:00:00
3,JINPAO,JP2101-20161222348,2016-12-22 00:00:00,H001,520025,JINPAO,Y,2014-09-17 00:00:00
3,JINPAO,JP2101-20161222349,2016-12-22 00:00:00,I004,520025,JINPAO,Y,2014-09-18 00:00:00
3,JINPAO,JP2101-20161222350,2016-12-22 00:00:00,C014,520025,JINPAO,Y,2014-09-18 00:00:00
3,JINPAO,JP2101-20161222351,2016-12-22 00:00:00,C031,520025,JINPAO,Y,2014-09-18 00:00:00
3,JINPAO,JP2101-20161222352,2016-12-22 00:00:00,J004,520025,JINPAO,Y,2014-09-18 00:00:00
3,JINPAO,JP2101-20161222353,2016-12-22 00:00:00,F006,520025,JINPAO,Y,2014-09-19 00:00:00
3,JINPAO,JP2101-20161222354,2016-12-22 00:00:00,B001,520025,JINPAO,Y,2014-09-19 00:00:00
3,JINPAO,JP2101-20161222355,2016-12-22 00:00:00,S008,520025,JINPAO,Y,2016-08-04 00:00:00
3,JINPAO,JP2101-20161222187,2016-12-22 00:00:00,C014,520025,JINPAO,Y,2015-05-15 00:00:00
3,JINPAO,JP2101-20161222188,2016-12-22 00:00:00,D005,520025,JINPAO,Y,2015-05-16 00:00:00
3,JINPAO,JP2101-20161222189,2016-12-22 00:00:00,E012,520025,JINPAO,Y,2015-05-16 00:00:00
3,JINPAO,JP2101-20161222190,2016-12-22 00:00:00,F005,520025,JINPAO,Y,2015-05-18 00:00:00
3,JINPAO,JP2101-20161222191,2016-12-22 00:00:00,D003,520025,JINPAO,Y,2015-05-18 00:00:00
3,JINPAO,JP2101-20161222192,2016-12-22 00:00:00,F005,520025,JINPAO,Y,2015-05-20 00:00:00
3,JINPAO,JP2101-20161222193,2016-12-22 00:00:00,M027,520025,JINPAO,Y,2015-05-21 00:00:00
3,JINPAO,JP2101-20161222194,2016-12-22 00:00:00,D006,520025,JINPAO,Y,2014-09-15 00:00:00
3,JINPAO,JP2101-20161222195,2016-12-22 00:00:00,B004,520025,JINPAO,Y,2014-09-15 00:00:00
3,JINPAO,JP2101-20161222196,2016-12-22 00:00:00,I004,520025,JINPAO,Y,2014-09-16 00:00:00
3,JINPAO,JP2101-20161222197,2016-12-22 00:00:00,F023,520025,JINPAO,Y,2014-09-17 00:00:00
3,JINPAO,JP2101-20161222198,2016-12-22 00:00:00,B001,520025,JINPAO,Y,2014-09-18 00:00:00
3,JINPAO,JP2101-20161222199,2016-12-22 00:00:00,B001,520025,JINPAO,Y,2014-09-18 00:00:00
3,JINPAO,JP2101-20161222200,2016-12-22 00:00:00,J004,520025,JINPAO,Y,2014-09-18 00:00:00
3,JINPAO,JP2101-20161222201,2016-12-22 00:00:00,T044,520025,JINPAO,Y,2014-09-18 00:00:00
3,JINPAO,JP2101-20161222202,2016-12-22 00:00:00,D003,520025,JINPAO,Y,2014-09-19 00:00:00
3,JINPAO,JP2101-20161222203,2016-12-22 00:00:00,A005,520025,JINPAO,Y,2014-09-19 00:00:00
3,JINPAO,JP2101-20161222204,2016-12-22 00:00:00,F005,520025,JINPAO,Y,2014-09-19 00:00:00
3,JINPAO,JP2101-20161222205,2016-12-22 00:00:00,D006,520025,JINPAO,Y,2014-09-17 00:00:00
3,JINPAO,JP2101-20161222206,2016-12-22 00:00:00,B004,520025,JINPAO,Y,2014-09-18 00:00:00
3,JINPAO,JP2101-20161222207,2016-12-22 00:00:00,B001,520025,JINPAO,Y,2014-09-19 00:00:00
3,JINPAO,JP2101-20161222208,2016-12-22 00:00:00,B001,520025,JINPAO,Y,2014-09-19 00:00:00
3,JINPAO,JP2101-20161222209,2016-12-22 00:00:00,F005,520025,JINPAO,Y,2014-09-19 00:00:00
3,JINPAO,JP2101-20161222210,2016-12-22 00:00:00,A005,520025,JINPAO,Y,2014-09-19 00:00:00
3,JINPAO,JP2101-20161222211,2016-12-22 00:00:00,A005,520025,JINPAO,Y,2014-09-19 00:00:00
3,JINPAO,JP2101-20161222212,2016-12-22 00:00:00,A005,520025,JINPAO,Y,2014-09-19 00:00:00
3,JINPAO,JP2101-20161222213,2016-12-22 00:00:00,A005,520025,JINPAO,Y,2014-09-19 00:00:00
3,JINPAO,JP2101-20161222214,2016-12-22 00:00:00,B001,520025,JINPAO,Y,2014-09-20 00:00:00
3,JINPAO,JP2101-20161222215,2016-12-22 00:00:00,B001,520025,JINPAO,Y,2014-09-20 00:00:00
3,JINPAO,JP2101-20161222216,2016-12-22 00:00:00,J008,520025,JINPAO,Y,2014-09-20 00:00:00
3,JINPAO,JP2101-20161222217,2016-12-22 00:00:00,J008,520025,JINPAO,Y,2014-09-20 00:00:00
3,JINPAO,JP2101-20161222218,2016-12-22 00:00:00,T033,520025,JINPAO,Y,2014-09-22 00:00:00
3,JINPAO,JP2101-20161222219,2016-12-22 00:00:00,S043,520025,JINPAO,Y,2014-09-22 00:00:00
3,JINPAO,JP2101-20161222220,2016-12-22 00:00:00,C001,520025,JINPAO,Y,2014-09-22 00:00:00
3,JINPAO,JP2101-20161222221,2016-12-22 00:00:00,I004,520025,JINPAO,Y,2014-09-23 00:00:00
3,JINPAO,JP2101-20161222222,2016-12-22 00:00:00,D003,520025,JINPAO,Y,2014-09-23 00:00:00
3,JINPAO,JP2101-20161222223,2016-12-22 00:00:00,A005,520025,JINPAO,Y,2014-09-23 00:00:00
3,JINPAO,JP2101-20161222224,2016-12-22 00:00:00,S008,520025,JINPAO,Y,2014-09-23 00:00:00
3,JINPAO,JP2101-20161222225,2016-12-22 00:00:00,C013,520025,JINPAO,Y,2014-09-23 00:00:00
3,JINPAO,JP2101-20161222226,2016-12-22 00:00:00,T026,520025,JINPAO,Y,2014-09-24 00:00:00
